date,cbtx_pc,equity_pc,etp_pc,index_pc,mbtx_pc,mgtn_pc,mgtnw_pc,mrut_pc,mxacw_pc,mxea_pc,mxef_pc,mxusa_pc,mxwld_pc,oex_pc,speqw_pc,speqx_pc,spx_spxw_pc,total_pc,vix_pc,djx_pc,djxw_pc,kpi_binary_option_pc
2019-10-07,,0.7,1.89,1.05,,,,0.0,0.0,6.0,184.0,0.0,0.0,3.49,,,1.75,1.05,0.16,,,
2019-10-08,,0.65,1.39,1.12,,,,0.0,0.0,14.0,20.0,0.0,0.0,1.23,,,1.71,1.01,0.56,,,
2019-10-09,,0.59,1.23,1.35,,,,0.0,0.0,38.0,16.0,0.0,0.0,1.04,,,2.3,1.03,0.35,,,
2019-10-10,,0.58,1.14,1.44,,,,0.0,0.0,0.0,0.07,0.0,0.0,2.89,,,1.72,0.99,0.73,,,
2019-10-11,,0.56,0.83,1.44,,,,0.0,0.0,1.34,1.42,0.0,0.0,1.93,,,1.77,0.94,1.12,,,
2019-10-14,,0.61,1.44,1.51,,,,0.0,0.0,0.0,0.11,0.0,0.0,0.88,,,1.99,1.15,0.92,,,
2019-10-15,,0.55,0.98,1.6,,,,0.0,0.0,155.5,1.01,0.0,0.0,1.47,,,1.97,1.01,1.14,,,
2019-10-16,,0.63,0.74,1.29,,,,0.0,0.0,24.0,1.7,0.0,0.0,2.27,,,1.75,0.92,0.51,,,
2019-10-17,,0.6,1.2,1.16,,,,0.0,0.0,34.11,176.4,0.0,0.0,2.36,,,1.6,0.91,0.35,,,
2019-10-18,,0.69,2.13,1.33,,,,0.0,0.0,0.71,15.0,0.0,0.0,0.98,,,1.75,1.14,0.34,,,
2019-10-21,,0.61,1.16,1.41,,,,0.0,0.0,385.0,0.57,0.0,0.0,3.53,,,1.72,0.94,0.37,,,
2019-10-22,,0.61,1.39,1.49,,,,0.0,0.0,33.0,1.7,0.0,0.0,3.15,,,1.97,0.95,0.53,,,
2019-10-23,,0.69,0.94,1.12,,,,0.0,0.0,22.0,319.0,0.0,0.0,0.78,,,1.81,0.87,0.11,,,
2019-10-24,,0.68,0.75,0.99,,,,0.0,0.0,11.0,17.0,0.0,0.0,0.92,,,1.55,0.78,0.18,,,
2019-10-25,,0.56,1.1,1.04,,,,0.0,0.0,1.18,0.98,0.0,0.0,1.32,,,1.41,0.82,0.44,,,
2019-10-28,,0.51,0.65,1.14,,,,0.0,0.0,320.0,331.0,0.0,0.0,0.97,,,1.73,0.79,0.49,,,
2019-10-29,,0.55,1.01,1.26,,,,0.0,0.0,9.0,0.77,0.0,0.0,5.9,,,1.97,0.85,0.17,,,
2019-10-30,,0.6,1.37,1.26,,,,0.0,0.0,0.67,0.0,0.0,0.0,1.27,,,1.91,0.97,0.99,,,
2019-10-31,,0.71,2.16,1.26,,,,0.0,0.0,0.0,14.0,0.0,0.0,1.52,,,1.72,1.16,0.79,,,
2019-11-01,,0.53,0.76,1.01,,,,0.0,0.0,1.01,0.93,0.0,0.0,1.11,,,1.2,0.74,0.53,,,
2019-11-04,,0.54,0.72,0.75,,,,0.0,0.0,40.0,36.0,0.0,0.0,1.24,,,1.18,0.65,0.16,,,
2019-11-05,,0.58,1.37,1.05,,,,0.0,0.0,280.0,1.08,0.0,0.0,1.29,,,1.62,0.85,0.43,,,
2019-11-06,,0.63,1.15,1.36,,,,0.0,0.0,6.0,10.0,0.0,0.0,3.43,,,1.7,0.93,1.17,,,
2019-11-07,,0.54,0.71,0.82,,,,0.0,0.0,318.0,30.0,0.0,0.0,1.35,,,0.99,0.66,0.57,,,
2019-11-08,,0.59,1.4,1.36,,,,0.0,0.0,1.0,0.95,0.0,0.0,2.96,,,1.89,0.94,0.65,,,
2019-11-11,,0.61,1.04,1.34,,,,0.0,0.0,1.0,22.0,0.0,0.0,2.26,,,1.66,0.91,0.48,,,
2019-11-12,,0.59,1.26,1.15,,,,0.0,0.0,0.09,3.0,0.0,0.0,1.85,,,1.85,0.88,0.44,,,
2019-11-13,,0.58,1.68,1.45,,,,0.0,0.0,263.0,30.0,0.0,0.0,1.01,,,1.98,1.0,0.7,,,
2019-11-14,,0.47,2.16,1.19,,,,0.0,0.0,0.0,1.0,0.0,0.0,8.37,,,1.97,0.92,0.38,,,
2019-11-15,,0.49,1.32,1.16,,,,0.0,0.0,1.01,0.26,0.0,0.0,0.57,,,1.43,0.84,0.89,,,
2019-11-18,,0.55,1.2,1.14,,,,0.0,0.0,3.5,0.09,0.0,0.0,2.2,,,1.4,0.84,0.8,,,
2019-11-19,,0.58,1.32,1.86,,,,0.0,0.0,7.0,5.0,0.0,0.0,3.59,,,1.8,1.08,1.98,,,
2019-11-20,,0.64,1.39,1.27,,,,0.0,0.0,163.5,559.0,0.0,0.0,9.73,,,1.96,1.0,0.62,,,
2019-11-21,,0.59,1.97,2.16,,,,0.0,0.0,1.0,0.01,0.0,0.0,2.95,,,2.59,1.21,1.05,,,
2019-11-22,,0.58,1.02,1.71,,,,0.0,0.0,0.0,0.42,0.0,0.0,3.98,,,2.0,0.96,1.63,,,
2019-11-25,,0.63,1.24,1.19,,,,0.0,0.0,19.0,0.33,0.0,0.0,1.3,,,1.71,0.94,0.47,,,
2019-11-26,,0.57,2.37,1.05,,,,0.0,0.0,13.0,0.02,0.0,0.0,1.96,,,1.58,1.05,0.31,,,
2019-11-27,,0.58,1.83,1.03,,,,0.0,0.0,0.26,0.46,0.0,0.0,0.74,,,1.22,0.94,0.35,,,
2019-11-29,,0.59,1.15,1.3,,,,0.0,0.0,1.01,1.04,0.0,0.0,2.62,,,2.03,0.96,0.11,,,
2019-12-02,,0.66,0.92,1.34,,,,0.0,0.0,0.72,0.22,0.0,0.0,2.83,,,1.81,0.99,0.61,,,
2019-12-03,,0.7,1.58,1.41,,,,0.0,0.0,0.0,9.0,0.0,0.0,1.3,,,1.65,1.13,0.91,,,
2019-12-04,,0.54,1.26,1.45,,,,0.0,0.0,0.0,6.0,0.0,0.0,0.56,,,1.8,0.98,0.92,,,
2019-12-05,,0.65,1.63,1.62,,,,0.0,0.0,0.0,4.0,0.0,0.0,2.54,,,2.01,1.08,0.53,,,
2019-12-06,,0.53,1.14,1.23,,,,0.0,0.0,1.03,1.03,0.0,0.0,0.9,,,1.55,0.88,0.56,,,
2019-12-09,,0.64,1.06,1.54,,,,0.0,0.0,2.0,0.0,0.0,0.0,3.75,,,2.3,1.02,0.79,,,
2019-12-10,,0.76,0.83,1.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,9.57,,,1.99,0.98,0.71,,,
2019-12-11,,0.52,1.33,1.45,,,,0.0,0.0,2.0,0.43,0.0,0.0,2.04,,,1.67,0.98,1.43,,,
2019-12-12,,0.45,0.72,1.11,,,,0.0,0.0,322.0,0.12,0.0,0.0,3.31,,,1.29,0.72,0.73,,,
2019-12-13,,0.55,0.89,1.79,,,,0.0,0.0,1.32,1.12,0.0,0.0,1.4,,,1.85,1.1,1.98,,,
2019-12-16,,0.61,0.91,1.09,,,,0.0,0.0,110.0,1.67,0.0,0.0,3.25,,,1.27,0.87,1.41,,,
2019-12-17,,0.53,0.71,0.7,,,,0.0,0.0,318.0,2.07,0.0,0.0,0.6,,,1.53,0.63,0.37,,,
2019-12-18,,0.49,2.56,1.21,,,,0.0,0.0,101.0,44.6,0.0,0.0,0.84,,,2.07,1.06,0.46,,,
2019-12-19,,0.54,0.95,1.14,,,,0.0,0.0,269.0,293.0,0.0,0.0,2.15,,,1.35,0.78,0.53,,,
2019-12-20,,0.46,1.33,1.1,,,,0.0,0.0,1.34,0.02,0.0,0.0,0.67,,,1.26,0.79,0.63,,,
2019-12-23,,0.54,0.98,1.2,,,,0.0,0.0,7.4,0.31,0.0,0.0,2.14,,,1.52,0.8,0.22,,,
2019-12-24,,0.52,0.71,1.88,,,,0.0,0.0,17.0,9.0,0.0,0.0,4.3,,,2.23,0.8,0.46,,,
2019-12-26,,0.43,1.1,1.67,,,,0.0,0.0,5.0,175.0,0.0,0.0,1.88,,,1.9,0.79,0.28,,,
2019-12-27,,0.6,0.91,1.29,,,,0.0,0.0,1.0,13.0,0.0,0.0,2.8,,,1.71,0.87,0.57,,,
2019-12-30,,0.59,0.94,1.25,,,,0.0,0.0,2.33,7.0,0.0,0.0,0.53,,,1.46,0.9,1.01,,,
2019-12-31,,0.56,1.22,1.22,,,,0.0,0.0,0.0,7.76,0.0,0.0,1.27,,,1.51,0.96,0.75,,,
2020-01-02,,0.54,0.99,1.3,,,,0.0,0.0,0.69,0.39,0.0,0.0,0.82,,,1.88,0.83,0.48,,,
2020-01-03,,0.55,0.75,1.36,,,,0.0,0.0,1.42,1.02,0.0,0.0,1.85,,,2.1,0.85,0.54,,,
2020-01-06,,0.54,0.78,1.28,,,,0.0,0.0,0.0,1.02,0.0,0.0,0.97,,,1.89,0.83,0.46,,,
2020-01-07,,0.44,1.66,1.21,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.84,,,1.79,0.83,0.4,,,
2020-01-08,,0.47,1.06,1.01,,,,0.0,0.0,0.0,9.0,0.0,0.0,1.57,,,1.51,0.76,0.28,,,
2020-01-09,,0.49,0.71,0.85,,,,0.0,0.0,25.0,3.33,0.0,0.0,1.47,,,1.36,0.66,0.25,,,
2020-01-10,,0.52,0.92,1.39,,,,0.0,0.0,1.05,1.99,0.0,0.0,2.61,,,1.99,0.86,0.67,,,
2020-01-13,,0.47,1.09,1.11,,,,0.0,0.0,46.0,0.03,0.0,0.0,2.14,,,1.55,0.76,0.36,,,
2020-01-14,,0.47,1.0,1.2,,,,0.0,0.0,0.7,0.11,0.0,0.0,7.84,,,1.73,0.76,0.44,,,
2020-01-15,,0.44,0.95,1.11,,,,0.0,0.0,45.67,291.0,0.0,0.0,7.77,,,1.68,0.75,0.17,,,
2020-01-16,,0.47,0.99,0.84,,,,0.0,0.0,86.71,6.0,0.0,0.0,2.12,,,1.62,0.71,0.18,,,
2020-01-17,,0.48,0.93,0.78,,,,0.0,0.0,1.02,0.57,0.0,0.0,0.85,,,1.45,0.66,0.25,,,
2020-01-21,,0.59,0.91,1.18,,,,0.0,0.0,0.0,0.1,0.0,0.0,10.3,,,1.88,0.83,0.6,,,
2020-01-22,,0.52,1.11,1.14,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.02,,,1.94,0.82,0.38,,,
2020-01-23,,0.54,0.86,1.09,,,,0.0,0.0,1.0,0.6,0.0,0.0,3.85,,,1.97,0.76,0.29,,,
