date,product,open_interest_call,volume_call,open_interest_put,volume_put,open_interest_total,volume_total
2019-10-07,CBOE VOLATILITY INDEX (VIX),5726360,261136,1872091,43027,7598451,304163
2019-10-07,EQUITY OPTIONS,95341646,499571,80497297,347481,175838943,847052
2019-10-07,EXCHANGE TRADED PRODUCTS,38012429,219972,56691675,414850,94704104,634822
2019-10-07,INDEX OPTIONS,11679586,737331,14443596,772590,26123182,1509921
2019-10-07,MRUT,0,0,0,0,0,0
2019-10-07,MXACW,0,0,0,0,0,0
2019-10-07,MXEA,4994,0,7289,6,12283,6
2019-10-07,MXEF,11499,0,11414,184,22913,184
2019-10-07,MXUSA,0,0,0,0,0,0
2019-10-07,MXWLD,0,0,0,0,0,0
2019-10-07,OEX,3679,172,4445,601,8124,773
2019-10-07,SPX + SPXW,4868638,403679,11804089,705496,16672727,1109175
2019-10-07,SUM OF ALL PRODUCTS,145033661,1456874,151632568,1534921,296666229,2991795
2019-10-08,CBOE VOLATILITY INDEX (VIX),5769991,445728,1889596,247925,7659587,693653
2019-10-08,EQUITY OPTIONS,96708472,713496,81619030,466426,178327502,1179922
2019-10-08,EXCHANGE TRADED PRODUCTS,38658812,389944,57493951,541503,96152763,931447
2019-10-08,INDEX OPTIONS,11781624,921019,14572855,1035046,26354479,1956065
2019-10-08,MRUT,0,0,0,0,0,0
2019-10-08,MXACW,0,0,0,0,0,0
2019-10-08,MXEA,4994,0,7289,14,12283,14
2019-10-08,MXEF,11499,0,11450,20,22949,20
2019-10-08,MXUSA,0,0,0,0,0,0
2019-10-08,MXWLD,0,0,0,0,0,0
2019-10-08,OEX,3808,856,4752,1050,8560,1906
2019-10-08,SPX + SPXW,4921028,441902,11890843,755753,16811871,1197655
2019-10-08,SUM OF ALL PRODUCTS,147148908,2024459,153685836,2042975,300834744,4067434
2019-10-09,CBOE VOLATILITY INDEX (VIX),5891774,200325,1981981,69473,7873755,269798
2019-10-09,EQUITY OPTIONS,97927854,586752,82801017,346043,180728871,932795
2019-10-09,EXCHANGE TRADED PRODUCTS,39914801,280307,58537929,346082,98452730,626389
2019-10-09,INDEX OPTIONS,11967560,618817,14928766,836592,26896326,1455409
2019-10-09,MRUT,0,0,0,0,0,0
2019-10-09,MXACW,0,0,0,0,0,0
2019-10-09,MXEA,4994,0,7289,38,12283,38
2019-10-09,MXEF,11499,0,11470,16,22969,16
2019-10-09,MXUSA,0,0,0,0,0,0
2019-10-09,MXWLD,0,0,0,0,0,0
2019-10-09,OEX,4048,730,5136,756,9184,1486
2019-10-09,SPX + SPXW,5059345,325805,12186735,748860,17246080,1074665
2019-10-09,SUM OF ALL PRODUCTS,149810215,1485876,156267712,1528717,306077927,3014593
2019-10-10,CBOE VOLATILITY INDEX (VIX),5886715,187442,2012155,136257,7898870,323699
2019-10-10,EQUITY OPTIONS,98990871,818445,83446784,476546,182437655,1294991
2019-10-10,EXCHANGE TRADED PRODUCTS,40506663,314853,58972333,359974,99478996,674827
2019-10-10,INDEX OPTIONS,11990105,660271,15047633,948003,27037738,1608274
2019-10-10,MRUT,0,0,0,0,0,0
2019-10-10,MXACW,0,0,0,0,0,0
2019-10-10,MXEA,4994,0,7289,0,12283,0
2019-10-10,MXEF,11499,114,11464,8,22963,122
2019-10-10,MXUSA,0,0,0,0,0,0
2019-10-10,MXWLD,0,0,0,0,0,0
2019-10-10,OEX,4265,427,5493,1234,9758,1661
2019-10-10,SPX + SPXW,5061845,458875,12269246,788029,17331091,1246904
2019-10-10,SUM OF ALL PRODUCTS,151487639,1793569,157466750,1784523,308954389,3578092
2019-10-11,CBOE VOLATILITY INDEX (VIX),5939248,381250,2048258,428126,7987506,809376
2019-10-11,EQUITY OPTIONS,100382553,1197648,84596467,664707,184979020,1862355
2019-10-11,EXCHANGE TRADED PRODUCTS,41399441,849454,60025436,702128,101424877,1551582
2019-10-11,INDEX OPTIONS,12200700,1099810,15330719,1587372,27531419,2687182
2019-10-11,MRUT,0,0,0,0,0,0
2019-10-11,MXACW,0,0,0,0,0,0
